date,bank,bse50,chinext50,cni2000,csi100,csi1000,csi2000,csi300,csi500,csi800,csi_a50,csi_a500,csi_all,dividend,growth,lowvol,sme100,sse180,sse50,ssecomp,star100,star50,sz100,szcomponent,value300
2020-05-27,8767.83,,0.783,,5299.62,6227.85,,4918.39,6064.95,5153.58,,,5355.45,6311.16,2.288,11487.2,3.527,11283.64,3977.51,1.298,,,5.103,0.867,6475.28
2020-05-28,8891.48,,0.777,,5325.52,6215.28,,4933.76,6057.98,5164.13,,,5357.6,6311.24,2.271,11554.17,3.517,11336.98,3997.69,1.303,,,5.098,0.868,6530.41
2020-05-29,8835.89,,0.785,,5326.89,6280.07,,4950.61,6111.7,5188.85,,,5391.23,6285.17,2.298,11477.53,3.552,11345.22,3997.68,1.306,,,5.128,0.871,6496.5
2020-06-01,8958.39,,0.816,,5465.08,6472.78,,5084.27,6297.29,5333.36,,,5543.76,6411.97,2.385,11689.77,3.68,11611.49,4088.4,1.332,,,5.308,0.9,6616.63
2020-06-02,9010.03,,0.811,,5497.89,6483.67,,5103.22,6294.41,5347.58,,,5557.89,6430.23,2.368,11750.89,3.674,11651.79,4110.75,1.338,,,5.322,0.903,6683.03
2020-06-03,9019.75,,0.807,,5502.19,6476.09,,5104.39,6301.52,5350.03,,,5559.81,6434.87,2.36,11728.37,3.691,11650.9,4115.29,1.34,,,5.312,0.905,6686.7
2020-06-04,8990.51,,0.811,,5501.34,6490.21,,5103.1,6307.32,5350.26,,,5565.48,6454.95,2.375,11755.66,3.694,11621.29,4107.67,1.338,,,5.346,0.908,6667.24
2020-06-05,9005.18,,0.819,,5531.61,6501.02,,5128.45,6319.43,5372.72,,,5582.6,6434.26,2.391,11743.27,3.719,11673.46,4126.17,1.342,,,5.376,0.911,6673.87
2020-06-08,9010.66,,0.812,,5569.86,6486.61,,5155.09,6308.5,5391.23,,,5591.04,6439.27,2.375,11809.27,3.714,11717.99,4145.03,1.343,,,5.408,0.911,6732.34
2020-06-09,9027.05,,0.825,,5599.01,6531.48,,5187.28,6349.27,5425.19,,,5626.51,6465.34,2.408,11858.13,3.749,11792.37,4171.69,1.348,,,5.441,0.92,6748.86
2020-06-10,8964.23,,0.835,,5579.84,6539.7,,5181.61,6355.66,5422.12,,,5625.62,6439.49,2.431,11816.82,3.775,11736.37,4148.85,1.343,,,5.477,0.922,6698.81
2020-06-11,8855.79,,0.84,,5515.92,6517.0,,5130.54,6328.8,5376.37,,,5589.65,6387.87,2.428,11705.86,3.754,11632.89,4105.97,1.335,,,5.418,0.918,6612.65
